"3012 : The RelatedVendorTxCode format invalid.","3012 : The RelatedVendorTxCode format invalid."
"3013 : The Description is missing.","3013 : The Description is missing."
"3014 : The TxType or PaymentType is invalid.","3014 : The TxType or PaymentType is invalid."
"3015 : The BillingAddress value is too long.","3015 : The BillingAddress value is too long."
"3016 : The BillingPostCode value is too long.","3016 : The BillingPostCode value is too long."
"3017 : The RelatedTxAuthNo format is invalid.","3017 : The RelatedTxAuthNo format is invalid."
"3018 : The GiftAid flag is invalid. If a value is supplied, should contain either 0 or 1.","3018 : The GiftAid flag is invalid. If a value is supplied, should contain either 0 or 1."
"3019 : The ApplyAVSCV2 flag is invalid. The value, if supplied, should contain either 0, 1, 2 or 3.","3019 : The ApplyAVSCV2 flag is invalid. The value, if supplied, should contain either 0, 1, 2 or 3."
"3020 : The Apply3DSecure flag is invalid. The value, if supplied, should contain either 0, 1, 2 or 3.","3020 : The Apply3DSecure flag is invalid. The value, if supplied, should contain either 0, 1, 2 or 3."
"3021 : The Basket format is invalid.","3021 : The Basket format is invalid."
"3022 : The CustomerEMail is too long.","3022 : The CustomerEMail is too long."
"3023 : The ContactFax is too long.","3023 : The ContactFax is too long."
"3024 : The ContactNumber is too long.","3024 : The ContactNumber is too long."
"3025 : The DeliveryPostCode is too long.","3025 : The DeliveryPostCode is too long."
"3026 : The DeliveryAddress is too long.","3026 : The DeliveryAddress is too long."
"3027 : The BillingPostCode is too long.","3027 : The BillingPostCode is too long."
"3028 : The BillingAddress is too long.","3028 : The BillingAddress is too long."
"3029 : The FailureURL is missing.","3029 : The FailureURL is missing."
"3030 : The SuccessURL is missing.","3030 : The SuccessURL is missing."
"3031 : The Amount value is required.","3031 : The Amount value is required."
"3032 : The Amount format is invalid.","3032 : The Amount format is invalid."
"3033 : The RelatedSecurityKey is required.","3033 : The RelatedSecurityKey is required."
"3034 : The Vendor or VendorName value is required.","3034 : The Vendor or VendorName value is required."
"3035 : The VendorTxCode format is invalid.","3035 : The VendorTxCode format is invalid."
"3036 : The Description format is invalid.","3036 : The Description format is invalid."
"3037 : The NotificationURL is too long.","3037 : The NotificationURL is too long."
"3038 : The RelatedVendorTxCode is required.","3038 : The RelatedVendorTxCode is required."
"3039 : The TxType or PaymentType is missing.","3039 : The TxType or PaymentType is missing."
"3040 : The RelatedTxAuth number is required.","3040 : The RelatedTxAuth number is required."
"3041 : The Basket field is too long.","3041 : The Basket field is too long."
"3042 : The CustomerName field is too long.","3042 : The CustomerName field is too long."
"3043 : The eMailMessage field is too long.","3043 : The eMailMessage field is too long."
"3044 : The VendorEMail is too long.","3044 : The VendorEMail is too long."
"3045 : The Currency field is missing.","3045 : The Currency field is missing."
"3046 : The VPSTxId field is missing.","3046 : The VPSTxId field is missing."
"3047 : Invalid VPSTxId format.","3047 : Invalid VPSTxId format."
"3048 : The CardNumber length is invalid.","3048 : The CardNumber length is invalid."
"3049 : The StartDate format is invalid.","3049 : The StartDate format is invalid."
"3050 : The ExpiryDate format is invalid.","3050 : The ExpiryDate format is invalid."
"3051 : The CardNumber field is required.","3051 : The CardNumber field is required."
"3052 : The ExpiryDate field is required.","3052 : The ExpiryDate field is required."
"3053 : The IssueNumber format is invalid.","3053 : The IssueNumber format is invalid."
"3054 : The CardType length is invalid.","3054 : The CardType length is invalid."
"3055 : The CardType field is required.","3055 : The CardType field is required."
"3056 : Invalid Amount field format. The Amount value contains a decimal point.","3056 : Invalid Amount field format. The Amount value contains a decimal point."
"3057 : The CV2 format is invalid.","3057 : The CV2 format is invalid."
"3058 : The CardHolder field is required.","3058 : The CardHolder field is required."
"3059 : The CardHolder value is too long.","3059 : The CardHolder value is too long."
"3060 : The GiftAid format is invalid.","3060 : The GiftAid format is invalid."
"3062 : The CardNumber field should only contain numbers. No spaces, hyphens or other characters or separators.","3062 : The CardNumber field should only contain numbers. No spaces, hyphens or other characters or separators."
"3063 : The 3DStatus value is too long.","3063 : The 3DStatus value is too long."
"3064 : The ECI format is invalid.","3064 : The ECI format is invalid."
"3065 : The XID format is invalid.","3065 : The XID format is invalid."
"3066 : The CAVV format is invalid.","3066 : The CAVV format is invalid."
"3067 : The ClientIPAddress is too long.","3067 : The ClientIPAddress is too long."
"3068 : The PaymentSystem invalid.","3068 : The PaymentSystem invalid."
"3069 : The PaymentSystem is not supported on the account.","3069 : The PaymentSystem is not supported on the account."
"3070 : The RelatedVPSTxId is required.","3070 : The RelatedVPSTxId is required."
"3071 : The RelatedVPSTxId format is invalid.","3071 : The RelatedVPSTxId format is invalid."
"3072 : The TxAuthNo field is missing.","3072 : The TxAuthNo field is missing."
"3073 : The TxAuthNo format is invalid.","3073 : The TxAuthNo format is invalid."
"3074 : The SecurityKey is missing.","3074 : The SecurityKey is missing."
"3075 : The SecurityKey format is invalid.","3075 : The SecurityKey format is invalid."
"3076 : The NotificationURL is required.","3076 : The NotificationURL is required."
"3078 : The CustomerEMail format is invalid.","3078 : The CustomerEMail format is invalid."
"3079 : The ClientIPAddress format is invalid. Should not include leading zero's, and only include values in the range of 0 to 255.","3079 : The ClientIPAddress format is invalid. Should not include leading zero's, and only include values in the range of 0 to 255."
"3080 : The VendorTxCode value is too long.","3080 : The VendorTxCode value is too long."
"3081 : The RelatedVendorTxCode value is too long.","3081 : The RelatedVendorTxCode value is too long."
"3082 : The Description value is too long.","3082 : The Description value is too long."
"3083 : The RelatedTxAuthNo value is too long.","3083 : The RelatedTxAuthNo value is too long."
"3084 : The FailureURL value is too long.","3084 : The FailureURL value is too long."
"3085 : The FailureURL format is invalid.","3085 : The FailureURL format is invalid."
"3086 : The SuccessURL value is too long.","3086 : The SuccessURL value is too long."
"3087 : The SuccessURL format is invalid.","3087 : The SuccessURL format is invalid."
"3088 : The VendorEMail format is invalid.","3088 : The VendorEMail format is invalid."
"3089 : The BillingAddress is required.","3089 : The BillingAddress is required."
"3090 : The BillingPostCode is required.","3090 : The BillingPostCode is required."
"3091 : The BillingAddress and BillingPostCode are required.","3091 : The BillingAddress and BillingPostCode are required."
"3092 : The DeliveryAddress and DeliveryPostcode are required.","3092 : The DeliveryAddress and DeliveryPostcode are required."
"3093 : The DeliveryAddress is required.","3093 : The DeliveryAddress is required."
"3094 : The DeliveryPostcode is required.","3094 : The DeliveryPostcode is required."
"3095 : The VPSProtocol value is invalid.","3095 : The VPSProtocol value is invalid."
"3096 : The VPSProtocol value is required.","3096 : The VPSProtocol value is required."
"3097 : The VPSProtocol value is outside the valid range. Should be between 2.00 and 3.00.","3097 : The VPSProtocol value is outside the valid range. Should be between 2.00 and 3.00."
"3098 : The VPSProtocol value is not supported by the system in use.","3098 : The VPSProtocol value is not supported by the system in use."
"3099 : The AccountType is not setup on this account.","3099 : The AccountType is not setup on this account."
"3100 : The AccountType value is invalid.","3100 : The AccountType value is invalid."
"3101 : The PaymentSystem does not support direct refund.","3101 : The PaymentSystem does not support direct refund."
"3102 : The ReleaseAmount invalid.","3102 : The ReleaseAmount invalid."
"3103 : The UserName value is too long.","3103 : The UserName value is too long."
"3104 : Account type selected requires 3D secure authentication to process Maestro or SOLO cards.","3104 : Account type selected requires 3D secure authentication to process Maestro or SOLO cards."
"3105 : Transaction is not allowed without 3D secure authentication.","3105 : Transaction is not allowed without 3D secure authentication."
"3106 : The PaymentSystem used for the original transaction does not support repeat transactions.","3106 : The PaymentSystem used for the original transaction does not support repeat transactions."
"3107 : The BillingSurname field is required.","3107 : The BillingSurname field is required."
"3108 : The BillingSurname value is too long.","3108 : The BillingSurname value is too long."
"3109 : The BillingFirstnames field is required.","3109 : The BillingFirstnames field is required."
"3110 : The BillingFirstnames value is too long.","3110 : The BillingFirstnames value is too long."
"3111 : The BillingAddress1 field is required.","3111 : The BillingAddress1 field is required."
"3112 : The BillingAddress1 value is too long.","3112 : The BillingAddress1 value is too long."
"3113 : The BillingAddress2 value is too long.","3113 : The BillingAddress2 value is too long."
"3114 : The BillingCity field is required.","3114 : The BillingCity field is required."
"3115 : The BillingCity value is too long.","3115 : The BillingCity value is too long."
"3117 : The BillingCountry field is required.","3117 : The BillingCountry field is required."
"3118 : The DeliverySurname field is required.","3118 : The DeliverySurname field is required."
"3119 : The DeliverySurname value is too long.","3119 : The DeliverySurname value is too long."
"3120 : The DeliveryFirstnames field is required.","3120 : The DeliveryFirstnames field is required."
"3121 : The DeliveryFirstnames value is too long.","3121 : The DeliveryFirstnames value is too long."
"3122 : The DeliveryAddress1 field is required.","3122 : The DeliveryAddress1 field is required."
"3123 : The DeliveryAddress1 value is too long.","3123 : The DeliveryAddress1 value is too long."
"3124 : The DeliveryAddress2 value is too long.","3124 : The DeliveryAddress2 value is too long."
"3125 : The DeliveryCity field is required.","3125 : The DeliveryCity field is required."
"3126 : The DeliveryCity value is too long.","3126 : The DeliveryCity value is too long."
"3128 : The DeliveryCountry field is required.","3128 : The DeliveryCountry field is required."
"3129 : The DeliveryCountry value is too long.","3129 : The DeliveryCountry value is too long."
"3130 : The BillingState value is too long.","3130 : The BillingState value is too long."
"3131 : The BillingPhone value is too long.","3131 : The BillingPhone value is too long."
"3132 : The DeliveryState value is too long.","3132 : The DeliveryState value is too long."
"3133 : The DeliveryPhone value is too long.","3133 : The DeliveryPhone value is too long."
"3134 : The ReferrerID value is too long.","3134 : The ReferrerID value is too long."
"3135 : The PayPalCallbackURL field is required.","3135 : The PayPalCallbackURL field is required."
"3136 : The PayPalCallbackURL value is too long.","3136 : The PayPalCallbackURL value is too long."
"3137 : The PayPalCallbackURL format is invalid.","3137 : The PayPalCallbackURL format is invalid."
"3138 : The BillingState format is invalid.","3138 : The BillingState format is invalid."
"3139 : The DeliveryState format is invalid.","3139 : The DeliveryState format is invalid."
"3140 : The DeliveryCountry value is invalid.","3140 : The DeliveryCountry value is invalid."
"3141 : The BillingCountry value is invalid.","3141 : The BillingCountry value is invalid."
"3142 : The SendEMail value is invalid.","3142 : The SendEMail value is invalid."
"3143 : The Billing information is required.","3143 : The Billing information is required."
"3144 : The Delivery information is required.","3144 : The Delivery information is required."
"3145 : The BillingCountry value is too long.","3145 : The BillingCountry value is too long."
"3146 : The Profile value is invalid.","3146 : The Profile value is invalid."
"3147 : The BillingState field is required.","3147 : The BillingState field is required."
"3148 : The DeliveryState field is required.","3148 : The DeliveryState field is required."
"3149 : The Card Firstnames is required.","3149 : The Card Firstnames is required."
"3150 : The Card Firstnames value is too long.","3150 : The Card Firstnames value is too long."
"3151 : The Card Surname is required.","3151 : The Card Surname is required."
"3152 : The Card Surname value is too long.","3152 : The Card Surname value is too long."
"3153 : The Card AddressLine1 is required.","3153 : The Card AddressLine1 is required."
"3154 : The Card AddressLine1 value is too long.","3154 : The Card AddressLine1 value is too long."
"3155 : The Card AddressLine2 value is too long.","3155 : The Card AddressLine2 value is too long."
"3156 : The Card City field is required.","3156 : The Card City field is required."
"3157 : The Card City value is too long.","3157 : The Card City value is too long."
"3158 : The Card Country field is required.","3158 : The Card Country field is required."
"3159 : The Card Country value is too long.","3159 : The Card Country value is too long."
"3160 : The Card Country value is invalid.","3160 : The Card Country value is invalid."
"3161 : The Card State value is too long.","3161 : The Card State value is too long."
"3162 : The Card State field is required.","3162 : The Card State field is required."
"3163 : The Accept field is required.","3163 : The Accept field is required."
"3164 : The Accept value is invalid.","3164 : The Accept value is invalid."
"3165 : The paypal callback is invalid.","3165 : The paypal callback is invalid."
"3166 : The transaction can not be repeated. Original transaction was not a billing agreement.","3166 : The transaction can not be repeated. Original transaction was not a billing agreement."
"3167 : The BillingAgreement flag is invalid. If a value is supplied, should contain either 0 or 1.","3167 : The BillingAgreement flag is invalid. If a value is supplied, should contain either 0 or 1."
"3168 : The PhoneID value is required.","3168 : The PhoneID value is required."
"3169 : The PhoneID value is too long.","3169 : The PhoneID value is too long."
"3170 : The PhoneID is not registered to any vendor account.","3170 : The PhoneID is not registered to any vendor account."
"3171 : The vendor account does not support direct refund.","3171 : The vendor account does not support direct refund."
"3172 : The create token value is invalid, should be either 1 or 0.","3172 : The create token value is invalid, should be either 1 or 0."
"3173 : The Customer data is invalid.","3173 : The Customer data is invalid."
"3174 : The Surcharge data is invalid.","3174 : The Surcharge data is invalid."
"3175 : The Surcharge XML is too long.","3175 : The Surcharge XML is too long."
"3176 : The Customer XML is too long.","3176 : The Customer XML is too long."
"3177 : The Basket XML is too long.","3177 : The Basket XML is too long."
"3178 : The Vendor Data is too long.","3178 : The Vendor Data is too long."
"3179 : The crypt string has been encoded incorrectly","3179 : The crypt string has been encoded incorrectly"
"3180 : The account number is too long.","3180 : The account number is too long."
"3181 : The account number is invalid.","3181 : The account number is invalid."
"3182 : The account number is missing.","3182 : The account number is missing."
"3183 : The bank code is too long.","3183 : The bank code is too long."
"3184 : The bank code is invalid.","3184 : The bank code is invalid."
"3185 : The bank code is missing.","3185 : The bank code is missing."
"3186 : Invalid PPRO response status.","3186 : Invalid PPRO response status."
"3187 : The website reference is too long.","3187 : The website reference is too long."
"3188 : The surcharge xml contains a fixed value with the incorrect number of decimal points for the currency.","3188 : The surcharge xml contains a fixed value with the incorrect number of decimal points for the currency."
"3189 : The vendor data is invalid.","3189 : The vendor data is invalid."
"3190 : The token value format is invalid.","3190 : The token value format is invalid."
"3191 : The storetoken value is invalid, If a value is supplied, should contain either 0 or 1.","3191 : The storetoken value is invalid, If a value is supplied, should contain either 0 or 1."
"3192 : Cannot find deferred transaction","3192 : Cannot find deferred transaction"
"3193 : Cannot create a token from a token transaction.","3193 : Cannot create a token from a token transaction."
"3194 : Must have only one basket field specified","3194 : Must have only one basket field specified"
"3195 : The line item amount details do not add up correctly.","3195 : The line item amount details do not add up correctly."
"4000 : The VendorName is invalid or the account is not active.","4000 : The VendorName is invalid or the account is not active."
"4001 : The VendorTxCode has been used before.  All VendorTxCodes should be unique.","4001 : The VendorTxCode has been used before.  All VendorTxCodes should be unique."
"4002 : An active transaction with this VendorTxCode has been found but the Amount is different.","4002 : An active transaction with this VendorTxCode has been found but the Amount is different."
"4003 : An active transaction with this VendorTxCode has been found but the Currency is different.","4003 : An active transaction with this VendorTxCode has been found but the Currency is different."
"4004 : An active transaction with this VendorTxCode has been found but the TxType is different.","4004 : An active transaction with this VendorTxCode has been found but the TxType is different."
"4005 : An active transaction with this VendorTxCode has been found but the some data fields are different.","4005 : An active transaction with this VendorTxCode has been found but the some data fields are different."
"4006 : The TxType requested is not supported on this account.","4006 : The TxType requested is not supported on this account."
"4007 : The TxType requested is not active on this account.","4007 : The TxType requested is not active on this account."
"4008 : The Currency is not supported on this account.","4008 : The Currency is not supported on this account."
"4009 : The Amount including surcharge is outside the allowed range.","4009 : The Amount including surcharge is outside the allowed range."
"4010 : The Amount including surcharge is outside the allowed range.","4010 : The Amount including surcharge is outside the allowed range."
"4019 : Client IP address is restricted by the vendor.","4019 : Client IP address is restricted by the vendor."
"4020 : Information received from an Invalid IP address.","4020 : Information received from an Invalid IP address."
"4021 : The Card Range not supported by the system.","4021 : The Card Range not supported by the system."
"4022 : The Card Type selected does not match card number.","4022 : The Card Type selected does not match card number."
"4023 : The Card Issue Number length is invalid.","4023 : The Card Issue Number length is invalid."
"4024 : The Card Issue Number is required.","4024 : The Card Issue Number is required."
"4025 : The Card Issue Number is invalid.","4025 : The Card Issue Number is invalid."
"4026 : 3D-Authentication failed. This vendor's rules require a successful 3D-Authentication.","4026 : 3D-Authentication failed. This vendor's rules require a successful 3D-Authentication."
"4027 : 3D-Authentication failed. Cannot authorise this card.","4027 : 3D-Authentication failed. Cannot authorise this card."
"4028 : The related transaction cannot be found.","4028 : The related transaction cannot be found."
"4029 : The RelatedVendorTxCode does not match the original transaction.","4029 : The RelatedVendorTxCode does not match the original transaction."
"4030 : The RelatedTxAuthNo does not match the original transaction.","4030 : The RelatedTxAuthNo does not match the original transaction."
"4031 : The RelatedSecurityKey does not match the original transaction.","4031 : The RelatedSecurityKey does not match the original transaction."
"4032 : The original transaction was carried out by a different Vendor.","4032 : The original transaction was carried out by a different Vendor."
"4033 : The Currency does not match the original transaction.","4033 : The Currency does not match the original transaction."
"4034 : The Transaction has already been Refunded.","4034 : The Transaction has already been Refunded."
"4035 : This Refund would exceed the amount of the original transaction.","4035 : This Refund would exceed the amount of the original transaction."
"4036 : The Transaction has already been Voided.","4036 : The Transaction has already been Voided."
"4037 : The Related transaction is not a DEFFERED payment.","4037 : The Related transaction is not a DEFFERED payment."
"4038 : The Transaction has already been Released.","4038 : The Transaction has already been Released."
"4039 : The Transaction is not in a DEFERRED state.","4039 : The Transaction is not in a DEFERRED state."
"4040 : The Transaction has been Aborted.","4040 : The Transaction has been Aborted."
"4041 : The Transaction type does not support the requested operation.","4041 : The Transaction type does not support the requested operation."
"4042 : The VendorTxCode has been used before for another transaction.  All VendorTxCodes must be unique.","4042 : The VendorTxCode has been used before for another transaction.  All VendorTxCodes must be unique."
"4043 : The Vendor Rule Bases disallow this card range.","4043 : The Vendor Rule Bases disallow this card range."
"4044 : This Authorise would exceed 115% of the value of the original transaction.","4044 : This Authorise would exceed 115% of the value of the original transaction."
"4045 : The Related transaction is not an AUTHENTICATE.","4045 : The Related transaction is not an AUTHENTICATE."
"4046 : 3D-Authentication required. Cannot authorise this card.","4046 : 3D-Authentication required. Cannot authorise this card."
"4047 : The vendor account is closed.","4047 : The vendor account is closed."
"4048 : The Card Number length is invalid.","4048 : The Card Number length is invalid."
"4049 : The ReleaseAmount larger the original amount.","4049 : The ReleaseAmount larger the original amount."
"4050 : Refund can no be performed until original transaction is settled.","4050 : Refund can no be performed until original transaction is settled."
"4051 : TransactionType of the related transaction is not supported for this operation.","4051 : TransactionType of the related transaction is not supported for this operation."
"4052 : Invalid system used for the related transaction.","4052 : Invalid system used for the related transaction."
"4053 : Transaction completed already.","4053 : Transaction completed already."
"4054 : Transaction not in paypal registered state.","4054 : Transaction not in paypal registered state."
"4055 : The amount value is invalid, this value must be no more than + or - 15% of the original value.","4055 : The amount value is invalid, this value must be no more than + or - 15% of the original value."
"4056 : The vendor does not match with the vendor who registered the token.","4056 : The vendor does not match with the vendor who registered the token."
"4057 : There are no card details registered for the token.","4057 : There are no card details registered for the token."
"4058 : The payment requires authentication, Token system does not support this.","4058 : The payment requires authentication, Token system does not support this."
"4059 : Cannot authorise this transaction.","4059 : Cannot authorise this transaction."
"5001 : The required service is not available or invalid.","5001 : The required service is not available or invalid."
"5002 : Invalid request or the transaction has already completed.","5002 : Invalid request or the transaction has already completed."
"5003 : Internal server error.","5003 : Internal server error."
"5004 : The Transaction state is invalid.","5004 : The Transaction state is invalid."
"5005 : The Vendor configuration is missing or invalid.","5005 : The Vendor configuration is missing or invalid."
"5006 : Unable to redirect to Vendor's web site.  The Vendor failed to provide a RedirectionURL.","5006 : Unable to redirect to Vendor's web site.  The Vendor failed to provide a RedirectionURL."
"5007 : Invalid request. A required parameter is missing.","5007 : Invalid request. A required parameter is missing."
"5008 : Missing Custom vendor template.","5008 : Missing Custom vendor template."
"5009 : The Encryption password is missing.","5009 : The Encryption password is missing."
"5029 : 3D-Authentication failed. This vendor's rules require a successful 3D-Authentication.","5029 : 3D-Authentication failed. This vendor's rules require a successful 3D-Authentication."
"5030 : We could not process your message, please check your integration settings or contact the support team.","5030 : We could not process your message, please check your integration settings or contact the support team."
"5031 : PayPal returned errors","5031 : PayPal returned errors"
"5032 : PayPal void request failed.","5032 : PayPal void request failed."
"5033 : PayPal capture request failed.","5033 : PayPal capture request failed."
"5034 : VOID operation is not supported for PAYPAL transaction","5034 : VOID operation is not supported for PAYPAL transaction"
"5035 : The Card Range requires 3D-Authentication, its not supported by the vendor.","5035 : The Card Range requires 3D-Authentication, its not supported by the vendor."
"5036 : The transaction not found.","5036 : The transaction not found."
"5037 : The Delivery Address contains invalid characters.","5037 : The Delivery Address contains invalid characters."
"5038 : The Delivery Phone contains invalid characters.","5038 : The Delivery Phone contains invalid characters."
"5039 : The Delivery City contains invalid characters.","5039 : The Delivery City contains invalid characters."
"5040 : The Billing Surname contains invalid characters.","5040 : The Billing Surname contains invalid characters."
"5041 : The Billing Firstname contains invalid characters.","5041 : The Billing Firstname contains invalid characters."
"5042 : The Billing Address1 contains invalid characters.","5042 : The Billing Address1 contains invalid characters."
"5043 : The Billing Address2 contains invalid characters.","5043 : The Billing Address2 contains invalid characters."
"5044 : The Billing City contains invalid characters.","5044 : The Billing City contains invalid characters."
"5045 : The Billing Phone contains invalid characters.","5045 : The Billing Phone contains invalid characters."
"5046 : The Delivery Surname contains invalid characters.","5046 : The Delivery Surname contains invalid characters."
"5047 : The Delivery Firstname contains invalid characters.","5047 : The Delivery Firstname contains invalid characters."
"5048 : The Delivery Address1 contains invalid characters.","5048 : The Delivery Address1 contains invalid characters."
"5049 : The Delivery Address2 contains invalid characters.","5049 : The Delivery Address2 contains invalid characters."
"5050 : The Billing Address contains invalid characters.","5050 : The Billing Address contains invalid characters."
"5051 : The Contact Number contains invalid characters.","5051 : The Contact Number contains invalid characters."
"5052 : The Customer Name contains invalid characters.","5052 : The Customer Name contains invalid characters."
"5053 : The Email Message contains invalid characters.","5053 : The Email Message contains invalid characters."
"5054 : The Cardholder Name contains invalid characters.","5054 : The Cardholder Name contains invalid characters."
"5055 : A Postcode field contains invalid characters.","5055 : A Postcode field contains invalid characters."
"5056 : The Contact Fax contains invalid characters.","5056 : The Contact Fax contains invalid characters."
"5057 : The PayPal reference transaction failed.","5057 : The PayPal reference transaction failed."
"5058 : The PayPal billing agreement was not accepted or failed.","5058 : The PayPal billing agreement was not accepted or failed."
"5068 : The encryption method is not supported by this protocol version.","5068 : The encryption method is not supported by this protocol version."
"5069 : Cannot refund mobile transactions for this acquirer. Please use the mobile device.","5069 : Cannot refund mobile transactions for this acquirer. Please use the mobile device."
"5070 : Form transactions are disabled for this vendor in the test environment. Please contact support to re-enable this functionality.","5070 : Form transactions are disabled for this vendor in the test environment. Please contact support to re-enable this functionality."
"5992 : Unable complete transaction due to resubmission of authorisation request by client.","5992 : Unable complete transaction due to resubmission of authorisation request by client."
"5993 : The network connection to the bank is currently unavailable.","5993 : The network connection to the bank is currently unavailable."
"5994 : The Authorisation process failed, due to an internal server error.","5994 : The Authorisation process failed, due to an internal server error."
"5995 : The AVS/CV2 checks failed.","5995 : The AVS/CV2 checks failed."
"5996 : The Authorisation process timed-out. The bank did not respond within an acceptable time limit.","5996 : The Authorisation process timed-out. The bank did not respond within an acceptable time limit."
"5997 : A communication related error occurred.","5997 : A communication related error occurred."
"5998 : Duplicate vendor notification attempt.","5998 : Duplicate vendor notification attempt."
"5999 : The Session is invalid or has expired.","5999 : The Session is invalid or has expired."
"6000 : Data Access Error.","6000 : Data Access Error."
"5010 : The CardNumber is required.","5010 : The CardNumber is required."
"5011 : Your card number has failed our validity checks and appears to be incorrect.  Please check and re-enter.","5011 : Your card number has failed our validity checks and appears to be incorrect.  Please check and re-enter."
"5012 : The CardHolder name is required.","5012 : The CardHolder name is required."
"5013 : The card has expired.","5013 : The card has expired."
"5014 : The Card Expiry date is required.","5014 : The Card Expiry date is required."
"5015 : Card validation failure.","5015 : Card validation failure."
"5016 : The StartDate is in the future.  The card is not yet valid.","5016 : The StartDate is in the future.  The card is not yet valid."
"5017 : The Security Code(CV2) is required.","5017 : The Security Code(CV2) is required."
"5018 : The Security Code(CV2) length is invalid.","5018 : The Security Code(CV2) length is invalid."
"5019 : The Security Code(CV2) is not a number.","5019 : The Security Code(CV2) is not a number."
"5020 : The Card Address is required.","5020 : The Card Address is required."
"5021 : The Card Address is too long.","5021 : The Card Address is too long."
"5022 : The Post Code value is required.","5022 : The Post Code value is required."
"5023 : The Post Code value is too long.","5023 : The Post Code value is too long."
"5024 : The CardHolder value is too long.","5024 : The CardHolder value is too long."
"5025 : The number of authorisation attempts exceeds the limit.","5025 : The number of authorisation attempts exceeds the limit."
"5026 : The Card Number is not numeric.","5026 : The Card Number is not numeric."
"5027 : The Card Start Date is invalid.","5027 : The Card Start Date is invalid."
"5028 : The Card Expiry Date is invalid.","5028 : The Card Expiry Date is invalid."
"10029 : The CardNumber field should only contain numbers. No spaces, hyphens or other characters or separators.","10029 : The CardNumber field should only contain numbers. No spaces, hyphens or other characters or separators."
"11000 : There was an error processing this payment type","11000 : There was an error processing this payment type"
"11001 : The request was invalid","11001 : The request was invalid"
"11002 : The payment was aborted at the bank site","11002 : The payment was aborted at the bank site"
"11003 : The transaction timed out","11003 : The transaction timed out"
"11004 : There was a local error","11004 : There was a local error"
"11005 : There was error processing the payment at the bank site","11005 : There was error processing the payment at the bank site"
"11006 : The transaction was declined","11006 : The transaction was declined"
"11007 : The transaction was declined by the bank","11007 : The transaction was declined by the bank"
"0 : The Authorisation was Successful.","0 : The Authorisation was Successful."
"0000 : The Authorisation was Successful.","0000 : The Authorisation was Successful."
"2000 : The Authorisation was Declined by the bank.","2000 : The Authorisation was Declined by the bank."
"2001 : The Authorisation was Rejected by the vendor rule-base.","2001 : The Authorisation was Rejected by the vendor rule-base."
"REJECTED. %s","%s"
"2001 : The Authorisation was Rejected by the vendor rule-base.","The billing address is incorrect."
"2002 : The Authorisation timed out.","2002 : The Authorisation timed out."
"2003 : An ERROR has occurred on the Sage Pay System.","2003 : An ERROR has occurred on the Sage Pay System."
"2004 : The Release was Successful.","2004 : The Release was Successful."
"2005 : The Void was Successful.","2005 : The Void was Successful."
"2006 : The Abort was Successful.","2006 : The Abort was Successful."
"2007 : Please redirect your customer to the ACSURL, passing the MD and PaReq.","2007 : Please redirect your customer to the ACSURL, passing the MD and PaReq."
"2008 : The Transaction timed-out.","2008 : The Transaction timed-out."
"2009 : The network connection to the bank is currently unavailable.","2009 : The network connection to the bank is currently unavailable."
"2010 : The Authentication was Successful.","2010 : The Authentication was Successful."
"2011 : The Transaction has been Registered.","2011 : The Transaction has been Registered."
"2012 : The Cancel was Successful.","2012 : The Cancel was Successful."
